date,game_mode,region,map,tier,hero,role,pick_rate,win_rate
2026-03-16,quickplay,Europe,lijiang-tower,All,벤데타,DAMAGE,13.1,52.0
2026-03-16,quickplay,Europe,lijiang-tower,All,벤처,DAMAGE,3.9,52.8
2026-03-16,quickplay,Europe,lijiang-tower,All,브리기테,SUPPORT,5.3,52.7
2026-03-16,quickplay,Europe,lijiang-tower,All,소전,DAMAGE,8.0,45.0
2026-03-16,quickplay,Europe,lijiang-tower,All,솔저: 76,DAMAGE,13.7,48.4
2026-03-16,quickplay,Europe,lijiang-tower,All,솜브라,DAMAGE,5.6,46.9
2026-03-16,quickplay,Europe,lijiang-tower,All,시그마,TANK,7.0,50.0
2026-03-16,quickplay,Europe,lijiang-tower,All,시메트라,DAMAGE,4.1,59.6
2026-03-16,quickplay,Europe,lijiang-tower,All,아나,SUPPORT,18.9,44.9
2026-03-16,quickplay,Europe,lijiang-tower,All,안란,DAMAGE,14.4,50.7
2026-03-16,quickplay,Europe,lijiang-tower,All,애쉬,DAMAGE,10.9,48.2
2026-03-16,quickplay,Europe,lijiang-tower,All,에코,DAMAGE,5.4,49.3
2026-03-16,quickplay,Europe,lijiang-tower,All,엠레,DAMAGE,13.7,49.2
2026-03-16,quickplay,Europe,lijiang-tower,All,오리사,TANK,9.8,48.2
2026-03-16,quickplay,Europe,lijiang-tower,All,우양,SUPPORT,9.5,49.2
2026-03-16,quickplay,Europe,lijiang-tower,All,위도우메이커,DAMAGE,5.8,42.2
2026-03-16,quickplay,Europe,lijiang-tower,All,윈스턴,TANK,3.6,51.9
2026-03-16,quickplay,Europe,lijiang-tower,All,일리아리,SUPPORT,8.0,52.1
2026-03-16,quickplay,Europe,lijiang-tower,All,자리야,TANK,4.4,47.1
2026-03-16,quickplay,Europe,lijiang-tower,All,정커퀸,TANK,4.4,52.3
2026-03-16,quickplay,Europe,lijiang-tower,All,정크랫,DAMAGE,11.3,51.5
2026-03-16,quickplay,Europe,lijiang-tower,All,제트팩 캣,SUPPORT,17.7,52.0
2026-03-16,quickplay,Europe,lijiang-tower,All,젠야타,SUPPORT,10.8,52.2
2026-03-16,quickplay,Europe,lijiang-tower,All,주노,SUPPORT,16.6,51.0
2026-03-16,quickplay,Europe,lijiang-tower,All,캐서디,DAMAGE,16.5,47.6
2026-03-16,quickplay,Europe,lijiang-tower,All,키리코,SUPPORT,22.8,47.4
2026-03-16,quickplay,Europe,lijiang-tower,All,토르비욘,DAMAGE,3.9,56.4
2026-03-16,quickplay,Europe,lijiang-tower,All,트레이서,DAMAGE,5.7,48.5
2026-03-16,quickplay,Europe,lijiang-tower,All,파라,DAMAGE,7.0,56.1
2026-03-16,quickplay,Europe,lijiang-tower,All,프레야,DAMAGE,5.5,44.8
2026-03-16,quickplay,Europe,lijiang-tower,All,한조,DAMAGE,9.1,49.2
2026-03-16,quickplay,Europe,lijiang-tower,All,해저드,TANK,3.8,52.8
