date,game_mode,region,map,tier,hero,role,pick_rate,win_rate,ban_rate
2026-06-30,quickplay,Asia,lijiang-tower,All,라이프위버,SUPPORT,7.1,47.0,0.0
2026-06-30,quickplay,Asia,lijiang-tower,All,라인하르트,TANK,11.1,55.3,0.0
2026-06-30,quickplay,Asia,lijiang-tower,All,레킹볼,TANK,4.6,49.1,0.0
2026-06-30,quickplay,Asia,lijiang-tower,All,로드호그,TANK,7.2,45.1,0.0
2026-06-30,quickplay,Asia,lijiang-tower,All,루시우,SUPPORT,9.0,52.6,0.0
2026-06-30,quickplay,Asia,lijiang-tower,All,리퍼,DAMAGE,6.6,49.8,0.0
2026-06-30,quickplay,Asia,lijiang-tower,All,마우가,TANK,8.5,49.0,0.0
2026-06-30,quickplay,Asia,lijiang-tower,All,메르시,SUPPORT,6.8,45.0,0.0
2026-06-30,quickplay,Asia,lijiang-tower,All,메이,DAMAGE,6.4,53.2,0.0
2026-06-30,quickplay,Asia,lijiang-tower,All,모이라,SUPPORT,22.7,54.4,0.0
2026-06-30,quickplay,Asia,lijiang-tower,All,미즈키,SUPPORT,22.7,53.8,0.0
2026-06-30,quickplay,Asia,lijiang-tower,All,바스티온,DAMAGE,6.6,48.2,0.0
2026-06-30,quickplay,Asia,lijiang-tower,All,바티스트,SUPPORT,4.0,44.5,0.0
2026-06-30,quickplay,Asia,lijiang-tower,All,벤데타,DAMAGE,3.0,50.2,0.0
2026-06-30,quickplay,Asia,lijiang-tower,All,벤처,DAMAGE,1.9,52.5,0.0
2026-06-30,quickplay,Asia,lijiang-tower,All,브리기테,SUPPORT,4.2,51.1,0.0
2026-06-30,quickplay,Asia,lijiang-tower,All,소전,DAMAGE,8.7,45.0,0.0
2026-06-30,quickplay,Asia,lijiang-tower,All,솔저: 76,DAMAGE,9.4,47.3,0.0
2026-06-30,quickplay,Asia,lijiang-tower,All,솜브라,DAMAGE,3.3,45.5,0.0
2026-06-30,quickplay,Asia,lijiang-tower,All,시그마,TANK,7.2,51.9,0.0
2026-06-30,quickplay,Asia,lijiang-tower,All,시메트라,DAMAGE,4.4,60.8,0.0
2026-06-30,quickplay,Asia,lijiang-tower,All,시에라,DAMAGE,12.5,49.7,0.0
2026-06-30,quickplay,Asia,lijiang-tower,All,시온,DAMAGE,57.1,52.8,0.0
2026-06-30,quickplay,Asia,lijiang-tower,All,아나,SUPPORT,37.0,45.1,0.0
2026-06-30,quickplay,Asia,lijiang-tower,All,안란,DAMAGE,9.3,51.8,0.0
2026-06-30,quickplay,Asia,lijiang-tower,All,애쉬,DAMAGE,4.1,45.5,0.0
2026-06-30,quickplay,Asia,lijiang-tower,All,에코,DAMAGE,2.7,48.0,0.0
2026-06-30,quickplay,Asia,lijiang-tower,All,엠레,DAMAGE,4.7,46.0,0.0
2026-06-30,quickplay,Asia,lijiang-tower,All,오리사,TANK,12.8,47.5,0.0
2026-06-30,quickplay,Asia,lijiang-tower,All,우양,SUPPORT,12.1,50.7,0.0
2026-06-30,quickplay,Asia,lijiang-tower,All,위도우메이커,DAMAGE,1.4,39.2,0.0
2026-06-30,quickplay,Asia,lijiang-tower,All,윈스턴,TANK,4.3,50.2,0.0
2026-06-30,quickplay,Asia,lijiang-tower,All,일리아리,SUPPORT,4.4,50.1,0.0
2026-06-30,quickplay,Asia,lijiang-tower,All,자리야,TANK,8.5,51.1,0.0
2026-06-30,quickplay,Asia,lijiang-tower,All,정커퀸,TANK,3.0,52.8,0.0
2026-06-30,quickplay,Asia,lijiang-tower,All,정크랫,DAMAGE,7.1,52.0,0.0
2026-06-30,quickplay,Asia,lijiang-tower,All,제트팩 캣,SUPPORT,6.9,52.5,0.0
2026-06-30,quickplay,Asia,lijiang-tower,All,젠야타,SUPPORT,10.2,51.8,0.0
2026-06-30,quickplay,Asia,lijiang-tower,All,주노,SUPPORT,10.2,49.6,0.0
2026-06-30,quickplay,Asia,lijiang-tower,All,캐서디,DAMAGE,18.0,46.3,0.0
2026-06-30,quickplay,Asia,lijiang-tower,All,키리코,SUPPORT,42.6,49.0,0.0
2026-06-30,quickplay,Asia,lijiang-tower,All,토르비욘,DAMAGE,1.9,54.3,0.0
2026-06-30,quickplay,Asia,lijiang-tower,All,트레이서,DAMAGE,5.4,48.1,0.0
