date,game_mode,region,map,tier,hero,role,pick_rate,win_rate,ban_rate
2026-05-17,quickplay,Americas,antarctic-peninsula,All,일리아리,SUPPORT,6.3,53.4,0.0
2026-05-17,quickplay,Americas,antarctic-peninsula,All,자리야,TANK,5.2,49.9,0.0
2026-05-17,quickplay,Americas,antarctic-peninsula,All,정커퀸,TANK,6.1,52.5,0.0
2026-05-17,quickplay,Americas,antarctic-peninsula,All,정크랫,DAMAGE,10.4,50.5,0.0
2026-05-17,quickplay,Americas,antarctic-peninsula,All,제트팩 캣,SUPPORT,8.6,47.1,0.0
2026-05-17,quickplay,Americas,antarctic-peninsula,All,젠야타,SUPPORT,10.6,53.1,0.0
2026-05-17,quickplay,Americas,antarctic-peninsula,All,주노,SUPPORT,21.0,49.5,0.0
2026-05-17,quickplay,Americas,antarctic-peninsula,All,캐서디,DAMAGE,15.9,49.0,0.0
2026-05-17,quickplay,Americas,antarctic-peninsula,All,키리코,SUPPORT,21.6,48.5,0.0
2026-05-17,quickplay,Americas,antarctic-peninsula,All,토르비욘,DAMAGE,4.1,56.3,0.0
2026-05-17,quickplay,Americas,antarctic-peninsula,All,트레이서,DAMAGE,7.1,49.6,0.0
2026-05-17,quickplay,Americas,antarctic-peninsula,All,파라,DAMAGE,3.7,49.3,0.0
2026-05-17,quickplay,Americas,antarctic-peninsula,All,프레야,DAMAGE,5.4,45.1,0.0
2026-05-17,quickplay,Americas,antarctic-peninsula,All,한조,DAMAGE,6.4,47.0,0.0
2026-05-17,quickplay,Americas,antarctic-peninsula,All,해저드,TANK,4.2,49.8,0.0
2026-05-17,quickplay,Americas,nepal,All,D.Va,TANK,7.7,43.3,0.0
2026-05-17,quickplay,Americas,nepal,All,겐지,DAMAGE,12.9,49.5,0.0
2026-05-17,quickplay,Americas,nepal,All,도미나,TANK,10.7,51.7,0.0
2026-05-17,quickplay,Americas,nepal,All,둠피스트,TANK,7.5,48.8,0.0
2026-05-17,quickplay,Americas,nepal,All,라마트라,TANK,10.6,52.1,0.0
2026-05-17,quickplay,Americas,nepal,All,라이프위버,SUPPORT,14.5,49.0,0.0
2026-05-17,quickplay,Americas,nepal,All,라인하르트,TANK,10.2,54.1,0.0
2026-05-17,quickplay,Americas,nepal,All,레킹볼,TANK,2.7,48.9,0.0
2026-05-17,quickplay,Americas,nepal,All,로드호그,TANK,9.4,47.1,0.0
2026-05-17,quickplay,Americas,nepal,All,루시우,SUPPORT,9.6,52.3,0.0
2026-05-17,quickplay,Americas,nepal,All,리퍼,DAMAGE,10.3,53.4,0.0
2026-05-17,quickplay,Americas,nepal,All,마우가,TANK,6.6,51.7,0.0
2026-05-17,quickplay,Americas,nepal,All,메르시,SUPPORT,26.0,49.5,0.0
2026-05-17,quickplay,Americas,nepal,All,메이,DAMAGE,7.7,54.2,0.0
2026-05-17,quickplay,Americas,nepal,All,모이라,SUPPORT,21.2,50.9,0.0
2026-05-17,quickplay,Americas,nepal,All,미즈키,SUPPORT,14.2,52.3,0.0
2026-05-17,quickplay,Americas,nepal,All,바스티온,DAMAGE,11.0,48.8,0.0
2026-05-17,quickplay,Americas,nepal,All,바티스트,SUPPORT,4.9,46.3,0.0
